time,left_gate,right_gate,delta
17.27,112.22,80.84,31.379999999999995
17.27,112.3,80.92,31.379999999999995
17.27,112.26,80.88,31.38000000000001
17.27,111.25,79.94,31.310000000000002
17.27,111.29,80.0,31.290000000000006
17.28,112.29,80.92,31.370000000000005
17.28,112.41,81.01,31.39999999999999
17.28,112.38,80.97,31.409999999999997
17.28,112.18,80.78,31.400000000000006
17.28,112.15,80.75,31.400000000000006
17.28,112.29,80.88,31.41000000000001
17.28,112.36,80.93,31.429999999999993
17.28,112.26,80.84,31.42
17.28,111.24,79.91,31.33
17.28,111.28,79.96,31.320000000000007
17.29,112.28,80.87,31.409999999999997
17.29,112.4,80.96,31.440000000000012
17.29,112.36,80.92,31.439999999999998
17.29,112.16,80.72,31.439999999999998
17.29,112.13,80.69,31.439999999999998
17.29,112.26,80.81,31.450000000000003
17.29,112.34,80.87,31.47
17.29,112.22,80.75,31.47
17.29,111.23,79.83,31.400000000000006
17.29,111.28,79.88,31.400000000000006
17.3,112.29,80.8,31.49000000000001
17.3,112.42,80.89,31.53
17.3,112.38,80.84,31.539999999999992
17.3,112.18,80.64,31.540000000000006
17.3,112.15,80.62,31.53
17.3,112.29,80.74,31.55000000000001
17.3,112.34,80.79,31.549999999999997
17.3,112.24,80.69,31.549999999999997
17.3,111.22,79.75,31.47
17.3,111.25,79.79,31.459999999999994
17.301,111.24,79.78,31.459999999999994
17.31,112.32,80.77,31.549999999999997
17.31,112.32,80.74,31.58
17.31,112.21,80.63,31.58
17.31,112.06,80.48,31.58
17.31,112.12,80.54,31.58
17.31,112.23,80.65,31.58
17.31,112.21,80.62,31.58999999999999
17.31,111.2,79.68,31.519999999999996
17.31,111.16,79.65,31.50999999999999
17.31,111.24,79.72,31.519999999999996
17.32,112.32,80.72,31.599999999999994
17.32,112.32,80.7,31.61999999999999
17.32,112.25,80.62,31.629999999999995
17.32,112.09,80.47,31.620000000000005
17.32,112.08,80.47,31.61
17.32,112.22,80.6,31.620000000000005
17.32,112.22,80.6,31.620000000000005
17.32,111.19,79.64,31.549999999999997
17.32,111.14,79.62,31.519999999999996
17.32,111.22,79.69,31.53
17.33,112.3,80.68,31.61999999999999
17.33,112.3,80.66,31.64
17.33,112.19,80.55,31.64
17.33,112.04,80.41,31.63000000000001
17.33,112.1,80.47,31.629999999999995
17.33,112.21,80.58,31.629999999999995
17.33,112.19,80.56,31.629999999999995
17.33,111.17,79.62,31.549999999999997
17.33,111.15,79.6,31.55000000000001
17.33,111.23,79.68,31.549999999999997
17.34,112.31,80.68,31.629999999999995
17.34,112.36,80.71,31.650000000000006
17.34,112.23,80.59,31.64
17.34,112.12,80.48,31.64
17.34,112.22,80.58,31.64
17.34,112.44,80.79,31.64999999999999
17.34,112.58,80.92,31.659999999999997
17.34,112.43,80.78,31.650000000000006
17.34,111.32,79.77,31.549999999999997
17.34,111.18,79.67,31.510000000000005
17.341,111.25,79.75,31.5
17.35,112.33,80.75,31.58
17.35,112.33,80.73,31.599999999999994
17.35,112.22,80.62,31.599999999999994
17.35,112.08,80.48,31.599999999999994
17.35,112.13,80.53,31.599999999999994
17.35,112.25,80.64,31.61
17.35,112.24,80.64,31.599999999999994
17.35,112.21,80.62,31.58999999999999
17.35,111.22,79.7,31.519999999999996
17.35,111.28,79.77,31.510000000000005
17.36,112.29,80.7,31.590000000000003
17.36,112.43,80.8,31.63000000000001
17.36,112.39,80.75,31.64
17.36,112.19,80.56,31.629999999999995
17.36,112.17,80.55,31.620000000000005
17.36,112.31,80.68,31.629999999999995
17.36,112.36,80.74,31.620000000000005
17.36,112.27,80.64,31.629999999999995
17.36,111.25,79.71,31.540000000000006
17.36,111.29,79.78,31.510000000000005
17.37,112.3,80.71,31.590000000000003
17.37,112.41,80.79,31.61999999999999
17.37,112.37,80.75,31.620000000000005
17.37,112.22,80.6,31.620000000000005
17.37,112.17,80.56,31.61
17.37,112.25,80.64,31.61
17.37,112.32,80.71,31.61
17.37,112.25,80.63,31.620000000000005
17.37,111.26,79.71,31.55000000000001
17.37,111.31,79.77,31.540000000000006
17.38,112.31,80.7,31.61
17.38,112.43,80.8,31.63000000000001
17.38,112.39,80.76,31.629999999999995
17.38,112.19,80.57,31.620000000000005
17.38,112.17,80.56,31.61
17.38,112.3,80.69,31.61
17.38,112.35,80.75,31.599999999999994
17.38,112.26,80.67,31.590000000000003
17.38,111.24,79.76,31.47999999999999
17.38,111.27,79.81,31.459999999999994
17.39,112.28,80.74,31.540000000000006
17.39,112.4,80.85,31.55000000000001
17.39,112.36,80.82,31.540000000000006
17.39,112.17,80.64,31.53
17.39,112.12,80.61,31.510000000000005
17.39,112.26,80.75,31.510000000000005
17.39,112.32,80.81,31.50999999999999
17.39,112.22,80.72,31.5
17.39,111.23,79.81,31.42
17.39,111.27,79.87,31.39999999999999
17.4,112.27,80.79,31.47999999999999
17.4,112.39,80.9,31.489999999999995
17.4,112.35,80.86,31.489999999999995
17.4,112.15,80.67,31.480000000000004
17.4,112.13,80.65,31.47999999999999
17.4,112.26,80.78,31.480000000000004
17.4,112.32,80.85,31.47
17.4,112.23,80.77,31.460000000000008
17.4,112.24,80.78,31.459999999999994
17.4,111.31,79.94,31.370000000000005
17.41,112.28,80.85,31.430000000000007
17.41,112.32,80.87,31.44999999999999
17.41,112.4,80.96,31.440000000000012
17.41,112.28,80.84,31.439999999999998
17.41,112.2,80.77,31.430000000000007
17.41,112.26,80.83,31.430000000000007
17.41,112.34,80.91,31.430000000000007
17.41,112.32,80.9,31.419999999999987
17.41,112.24,80.83,31.409999999999997
17.41,111.33,79.99,31.340000000000003
17.42,112.29,80.89,31.400000000000006
17.42,112.32,80.92,31.39999999999999
17.42,112.4,80.98,31.42
17.42,112.28,80.87,31.409999999999997
17.42,112.2,80.8,31.400000000000006
17.42,112.23,80.84,31.39
17.42,112.33,80.94,31.39
17.42,112.31,80.92,31.39
17.42,112.23,80.85,31.38000000000001
17.42,111.31,80.02,31.290000000000006
17.43,112.28,80.92,31.36
17.43,112.32,80.94,31.379999999999995
17.43,112.39,81.02,31.370000000000005
17.43,112.27,80.9,31.36999999999999
17.43,112.2,80.83,31.370000000000005
17.43,112.25,80.88,31.370000000000005
17.43,112.34,80.96,31.38000000000001
17.43,112.33,80.94,31.39
17.43,112.24,80.86,31.379999999999995
17.43,111.33,80.02,31.310000000000002
17.44,112.29,80.92,31.370000000000005
17.44,112.33,80.94,31.39
17.44,112.41,81.02,31.39
17.44,112.33,80.94,31.39
17.44,112.24,80.85,31.39
17.44,112.28,80.88,31.400000000000006
17.44,112.46,81.05,31.409999999999997
17.44,112.58,81.17,31.409999999999997
17.44,112.66,81.25,31.409999999999997
17.44,112.67,81.26,31.409999999999997
17.45,112.67,81.27,31.400000000000006
17.45,112.67,81.27,31.400000000000006
17.45,112.67,81.27,31.400000000000006
17.45,112.67,81.28,31.39
17.45,112.67,81.29,31.379999999999995
17.45,112.68,81.29,31.39
17.45,112.68,81.29,31.39
17.45,112.68,81.29,31.39
17.45,112.67,81.29,31.379999999999995
17.45,112.66,81.28,31.379999999999995
17.46,112.66,81.28,31.379999999999995
17.46,112.65,81.27,31.38000000000001
17.46,112.65,81.27,31.38000000000001
17.46,112.64,81.27,31.370000000000005
17.46,112.59,81.23,31.36
17.46,112.6,81.24,31.36
17.46,112.59,81.21,31.38000000000001
17.46,112.51,81.14,31.370000000000005
17.46,112.42,81.05,31.370000000000005
17.46,112.24,80.89,31.349999999999994
17.46,111.3,80.03,31.269999999999996
17.47,112.27,80.94,31.33
17.47,112.32,80.96,31.36
17.47,112.39,81.04,31.349999999999994
17.47,112.27,80.92,31.349999999999994
17.47,112.19,80.85,31.340000000000003
17.47,112.25,80.91,31.340000000000003
17.47,112.31,80.97,31.340000000000003
17.47,112.29,80.95,31.340000000000003
17.47,112.2,80.88,31.320000000000007
17.47,111.29,80.04,31.25
17.48,112.25,80.94,31.310000000000002
17.48,112.29,80.97,31.320000000000007
17.48,112.37,81.04,31.33
17.48,112.23,80.92,31.310000000000002
17.48,112.16,80.85,31.310000000000002
17.48,112.23,80.9,31.33
17.48,112.29,80.96,31.330000000000013
17.48,112.28,80.94,31.340000000000003
17.48,112.2,80.87,31.33
17.48,111.27,80.01,31.25999999999999
17.49,112.23,80.9,31.33
17.49,112.28,80.92,31.36
17.49,112.35,81.0,31.349999999999994
17.49,112.25,80.89,31.36
17.49,112.18,80.82,31.360000000000014
17.49,112.24,80.88,31.36
17.49,112.33,80.97,31.36
17.49,112.29,80.95,31.340000000000003
17.49,112.22,80.88,31.340000000000003
17.49,111.31,80.05,31.260000000000005
17.5,112.27,80.95,31.319999999999993
17.5,112.3,80.97,31.33
17.5,112.37,81.05,31.320000000000007
17.5,112.25,80.94,31.310000000000002
17.5,112.17,80.87,31.299999999999997
17.5,112.21,80.9,31.309999999999988
17.5,112.28,80.98,31.299999999999997
17.5,112.27,80.96,31.310000000000002
17.5,112.18,80.87,31.310000000000002
17.5,111.25,80.02,31.230000000000004
17.501,111.23,80.02,31.210000000000008
17.51,112.24,80.94,31.299999999999997
17.51,112.35,81.04,31.309999999999988
17.51,112.32,81.0,31.319999999999993
17.51,112.12,80.81,31.310000000000002
17.51,112.09,80.78,31.310000000000002
17.51,112.23,80.91,31.320000000000007
17.51,112.3,80.97,31.33
17.51,112.19,80.87,31.319999999999993
17.51,111.19,79.95,31.239999999999995
17.51,111.25,80.01,31.239999999999995
17.52,112.25,80.94,31.310000000000002
17.52,112.38,81.04,31.33999999999999
17.52,112.34,80.99,31.35000000000001
17.52,112.15,80.8,31.35000000000001
17.52,112.1,80.77,31.33
17.52,112.24,80.9,31.33999999999999
17.52,112.3,80.96,31.340000000000003
17.52,112.19,80.85,31.340000000000003
17.52,111.18,79.92,31.260000000000005
17.52,111.2,79.97,31.230000000000004
17.521,111.2,79.97,31.230000000000004
17.53,112.29,80.98,31.310000000000002
17.53,112.29,80.97,31.320000000000007
17.53,112.17,80.85,31.320000000000007
17.53,112.03,80.71,31.320000000000007
17.53,112.08,80.77,31.310000000000002
17.53,112.2,80.88,31.320000000000007
17.53,112.18,80.86,31.320000000000007
17.53,111.17,79.92,31.25
17.53,111.13,79.89,31.239999999999995
17.53,111.22,79.97,31.25
17.54,112.29,80.96,31.330000000000013
17.54,112.29,80.94,31.35000000000001
17.54,112.21,80.86,31.349999999999994
17.54,112.03,80.69,31.340000000000003
17.54,112.05,80.7,31.349999999999994
17.54,112.15,80.79,31.36
17.54,112.15,80.79,31.36
17.54,111.17,79.89,31.28
17.54,111.11,79.85,31.260000000000005
17.54,111.17,79.92,31.25
17.55,112.25,80.91,31.340000000000003
17.55,112.25,80.89,31.36
17.55,112.12,80.77,31.35000000000001
17.55,111.97,80.63,31.340000000000003
17.55,112.03,80.69,31.340000000000003
17.55,112.15,80.8,31.35000000000001
17.55,112.12,80.77,31.35000000000001
17.55,111.11,79.83,31.28
17.55,111.09,79.82,31.27000000000001
17.55,111.17,79.9,31.269999999999996
17.56,112.26,80.9,31.36
17.56,112.31,80.92,31.39
17.56,112.18,80.8,31.38000000000001
17.56,112.06,80.69,31.370000000000005
17.56,112.15,80.78,31.370000000000005
17.56,112.38,81.0,31.379999999999995
17.56,112.51,81.12,31.39
17.56,112.35,80.97,31.379999999999995
17.56,111.24,79.96,31.28
17.56,111.09,79.85,31.24000000000001
17.561,111.15,79.92,31.230000000000004
17.57,112.25,80.92,31.33
17.57,112.25,80.89,31.36
17.57,112.13,80.77,31.36
17.57,111.99,80.62,31.36999999999999
17.57,112.04,80.67,31.370000000000005
17.57,112.16,80.78,31.379999999999995
17.57,112.14,80.76,31.379999999999995
17.57,111.13,79.83,31.299999999999997
17.57,111.1,79.81,31.289999999999992
17.57,111.2,79.9,31.299999999999997
17.58,112.29,80.89,31.400000000000006
17.58,112.29,80.86,31.430000000000007
17.58,112.16,80.74,31.42
17.58,112.0,80.59,31.409999999999997
17.58,112.06,80.65,31.409999999999997
17.58,112.17,80.76,31.409999999999997
17.58,112.16,80.76,31.39999999999999
17.58,111.13,79.82,31.310000000000002
17.58,111.08,79.8,31.28
17.58,111.16,79.86,31.299999999999997
17.59,112.24,80.86,31.379999999999995
17.59,112.24,80.84,31.39999999999999
17.59,112.11,80.71,31.400000000000006
17.59,111.95,80.56,31.39
17.59,112.02,80.62,31.39999999999999
17.59,112.13,80.73,31.39999999999999
17.59,112.1,80.7,31.39999999999999
17.59,111.09,79.76,31.33
17.59,111.06,79.75,31.310000000000002
17.59,111.16,79.83,31.33
17.6,112.25,80.82,31.430000000000007
17.6,112.25,80.79,31.459999999999994
17.6,112.16,80.69,31.47
17.6,112.04,80.55,31.49000000000001
17.6,112.08,80.6,31.480000000000004
17.6,112.21,80.72,31.489999999999995
17.6,112.18,80.71,31.470000000000013
17.6,112.13,80.67,31.459999999999994
17.6,111.12,79.75,31.370000000000005
17.6,111.16,79.8,31.36
17.61,112.16,80.72,31.439999999999998
17.61,112.27,80.82,31.450000000000003
17.61,112.24,80.79,31.44999999999999
17.61,112.05,80.6,31.450000000000003
17.61,112.01,80.56,31.450000000000003
17.61,112.14,80.68,31.459999999999994
17.61,112.2,80.74,31.460000000000008
17.61,112.1,80.64,31.459999999999994
17.61,111.1,79.71,31.39
17.61,111.15,79.76,31.39
17.62,112.15,80.68,31.47
17.62,112.26,80.77,31.49000000000001
17.62,112.22,80.72,31.5
17.62,112.01,80.53,31.480000000000004
17.62,111.99,80.51,31.47999999999999
17.62,112.13,80.64,31.489999999999995
17.62,112.18,80.71,31.470000000000013
17.62,112.1,80.62,31.47999999999999
17.62,112.09,80.61,31.480000000000004
17.62,111.16,79.75,31.409999999999997
17.621,111.16,79.77,31.39
17.63,112.17,80.7,31.47
17.63,112.28,80.8,31.480000000000004
17.63,112.25,80.75,31.5
17.63,112.05,80.56,31.489999999999995
17.63,112.02,80.53,31.489999999999995
17.63,112.15,80.66,31.49000000000001
17.63,112.21,80.73,31.47999999999999
17.63,112.11,80.63,31.480000000000004
17.63,111.11,79.71,31.400000000000006
17.63,111.17,79.77,31.400000000000006
17.64,112.17,80.7,31.47
17.64,112.3,80.79,31.50999999999999
17.64,112.26,80.74,31.52000000000001
17.64,112.1,80.58,31.519999999999996
17.64,112.06,80.53,31.53
17.64,112.14,80.61,31.53
17.64,112.23,80.69,31.540000000000006
17.64,112.14,80.6,31.540000000000006
17.64,111.13,79.68,31.44999999999999
17.64,111.17,79.73,31.439999999999998
17.65,112.18,80.66,31.52000000000001
17.65,112.3,80.75,31.549999999999997
17.65,112.26,80.7,31.560000000000002
17.65,112.06,80.51,31.549999999999997
17.65,112.05,80.5,31.549999999999997
17.65,112.18,80.63,31.55000000000001
17.65,112.23,80.69,31.540000000000006
17.65,112.14,80.6,31.540000000000006
17.65,111.14,79.68,31.459999999999994
17.65,111.19,79.74,31.450000000000003
17.66,112.19,80.66,31.53
17.66,112.31,80.76,31.549999999999997
17.66,112.31,80.75,31.560000000000002
17.66,112.09,80.55,31.540000000000006
17.66,112.1,80.56,31.539999999999992
17.66,112.28,80.73,31.549999999999997
17.66,112.44,80.87,31.569999999999993
17.66,112.52,80.94,31.58
17.66,112.46,80.87,31.58999999999999
17.66,111.5,80.02,31.480000000000004
17.661,111.44,79.99,31.450000000000003
17.67,112.45,80.92,31.53
17.67,112.56,81.02,31.540000000000006
17.67,112.52,80.98,31.539999999999992
17.67,112.31,80.78,31.53
17.67,112.29,80.76,31.53
17.67,112.42,80.87,31.549999999999997
17.67,112.48,80.92,31.560000000000002
17.67,112.36,80.82,31.540000000000006
17.67,111.37,79.91,31.460000000000008
17.67,111.42,79.98,31.439999999999998
17.68,112.43,80.91,31.52000000000001
17.68,112.58,81.03,31.549999999999997
17.68,112.54,80.98,31.560000000000002
17.68,112.33,80.79,31.539999999999992
17.68,112.3,80.76,31.539999999999992
17.68,112.44,80.89,31.549999999999997
17.68,112.5,80.94,31.560000000000002
17.68,112.4,80.85,31.55000000000001
17.68,111.39,79.93,31.459999999999994
17.68,111.43,79.98,31.450000000000003
17.69,112.44,80.91,31.53
17.69,112.56,81.01,31.549999999999997
17.69,112.53,80.97,31.560000000000002
17.69,112.33,80.78,31.549999999999997
17.69,112.31,80.77,31.540000000000006
17.69,112.44,80.9,31.539999999999992
17.69,112.5,80.96,31.540000000000006
17.69,112.4,80.87,31.53
17.69,111.39,79.95,31.439999999999998
17.69,111.45,80.03,31.42
17.7,112.45,80.95,31.5
17.7,112.56,81.04,31.519999999999996
17.7,112.53,81.0,31.53
17.7,112.34,80.81,31.53
17.7,112.32,80.78,31.539999999999992
17.7,112.45,80.91,31.540000000000006
17.7,112.52,80.97,31.549999999999997
17.7,112.41,80.87,31.539999999999992
17.7,111.4,79.95,31.450000000000003
17.7,111.44,80.0,31.439999999999998
17.71,112.44,80.92,31.519999999999996
17.71,112.55,81.02,31.53
17.71,112.53,80.99,31.540000000000006
17.71,112.32,80.81,31.50999999999999
17.71,112.31,80.79,31.519999999999996
17.71,112.4,80.88,31.52000000000001
17.71,112.5,80.98,31.519999999999996
17.71,112.45,80.94,31.510000000000005
17.71,111.43,80.01,31.42
17.71,111.48,80.07,31.41000000000001
17.72,112.49,81.0,31.489999999999995
17.72,112.61,81.09,31.519999999999996
