time,delta
57.86,33.39999999999999
57.86,33.46666666666667
57.86,33.46666666666667
57.86,33.5
57.86,33.56666666666666
57.86,33.56666666666666
57.87,33.533333333333346
57.87,33.5
57.87,33.5
57.87,33.46666666666667
57.87,33.46666666666667
57.87,33.46666666666667
57.87,33.43333333333332
57.87,33.43333333333334
57.87,33.43333333333334
57.87,33.400000000000006
57.88,33.43333333333334
57.88,33.46666666666667
57.88,33.46666666666667
57.88,33.5
57.88,33.53333333333333
57.88,33.5
57.88,33.46666666666667
57.88,33.5
57.88,33.5
57.88,33.53333333333333
57.89,33.5
57.89,33.46666666666667
57.89,33.46666666666667
57.89,33.43333333333334
57.89,33.400000000000006
57.89,33.36666666666666
57.89,33.400000000000006
57.89,33.366666666666674
57.89,33.30000000000001
57.89,33.3
57.9,33.33333333333334
57.9,33.366666666666674
57.9,33.400000000000006
57.9,33.43333333333334
57.9,33.43333333333334
57.9,33.43333333333332
57.9,33.46666666666667
57.9,33.46666666666667
57.9,33.43333333333334
57.9,33.43333333333334
57.91,33.43333333333334
57.91,33.43333333333334
57.91,33.39999999999999
57.91,33.36666666666666
57.91,33.36666666666666
57.91,33.36666666666666
57.91,33.36666666666666
57.91,33.33333333333333
57.91,33.3
57.91,33.266666666666666
57.92,33.3
57.92,33.33333333333333
57.92,33.33333333333333
57.92,33.36666666666666
57.92,33.43333333333334
57.92,33.43333333333334
57.92,33.39999999999999
57.92,33.43333333333332
57.92,33.5
57.92,33.533333333333346
57.93,33.53333333333333
57.93,33.5
57.93,33.46666666666667
57.93,33.43333333333334
57.93,33.43333333333334
57.93,33.400000000000006
57.93,33.366666666666674
57.93,33.33333333333333
57.93,33.36666666666666
57.93,33.36666666666666
57.94,33.36666666666666
57.94,33.366666666666674
57.94,33.400000000000006
57.94,33.43333333333334
57.94,33.400000000000006
57.94,33.46666666666667
57.94,33.5
57.94,33.53333333333333
57.94,33.56666666666668
57.94,33.56666666666666
57.95,33.56666666666666
57.95,33.5
57.95,33.46666666666667
57.95,33.43333333333334
57.95,33.36666666666666
57.95,33.366666666666674
57.95,33.400000000000006
57.95,33.33333333333334
57.95,33.266666666666666
57.95,33.233333333333334
57.96,33.233333333333334
57.96,33.26666666666668
57.96,33.26666666666668
57.96,33.30000000000001
57.96,33.33333333333334
57.96,33.366666666666674
57.96,33.400000000000006
57.96,33.43333333333332
57.96,33.43333333333334
57.96,33.46666666666667
57.97,33.46666666666667
57.97,33.43333333333332
57.97,33.43333333333332
57.97,33.43333333333332
57.97,33.43333333333332
57.97,33.39999999999999
57.97,33.36666666666666
57.97,33.36666666666666
57.97,33.3
57.97,33.3
57.98,33.30000000000001
57.98,33.366666666666674
57.98,33.366666666666674
57.98,33.366666666666674
57.98,33.43333333333334
57.98,33.43333333333334
57.98,33.400000000000006
57.98,33.46666666666667
57.98,33.46666666666667
57.98,33.46666666666667
57.99,33.46666666666667
57.99,33.46666666666667
57.99,33.5
57.99,33.46666666666667
57.99,33.39999999999999
57.99,33.400000000000006
57.99,33.366666666666674
57.99,33.366666666666674
57.99,33.366666666666674
57.99,33.33333333333333
58.0,33.33333333333334
58.0,33.33333333333334
58.0,33.30000000000001
58.0,33.30000000000001
58.0,33.3
58.0,33.33333333333333
58.0,33.36666666666666
58.0,33.36666666666666
