time,ch0_delta,ch1_delta,ch2_delta,ch3_delta,ch4_delta,ch5_delta,ch6_delta,ch7_delta
6.345,54.92166666666668,-17.795000000000016,23.403333333333336,0.3649999999999807,33.025000000000006,-26.960000000000008,4.156666666666666,6.506666666666661
6.355,54.91499999999999,-17.789999999999992,23.40166666666667,0.37000000000000455,33.018333333333345,-26.958333333333343,4.151666666666671,6.508333333333326
6.365,54.92500000000001,-17.795000000000016,23.403333333333336,0.3649999999999807,33.025000000000006,-26.960000000000008,4.156666666666666,6.509999999999991
6.375,54.91833333333335,-17.791666666666657,23.40166666666667,0.3683333333333394,33.018333333333345,-26.958333333333343,4.151666666666671,6.511666666666656
6.385,54.92499999999998,-17.798333333333346,23.403333333333336,0.3633333333333155,33.028333333333336,-26.958333333333343,4.156666666666666,6.513333333333321
6.395,54.91833333333335,-17.794999999999987,23.40166666666667,0.3683333333333394,33.02333333333334,-26.958333333333343,4.153333333333336,6.514999999999986
6.405,54.92999999999998,-17.80333333333334,23.403333333333336,0.3649999999999807,33.03,-26.958333333333343,4.158333333333331,6.5166666666666515
6.415,54.92333333333332,-17.799999999999983,23.40166666666667,0.3683333333333394,33.02333333333334,-26.956666666666678,4.155000000000001,6.518333333333317
6.425,54.93000000000001,-17.80333333333334,23.403333333333336,0.3633333333333155,33.031666666666666,-26.956666666666678,4.159999999999997,6.519999999999982
6.435,54.92333333333332,-17.799999999999983,23.403333333333336,0.36666666666667425,33.025000000000006,-26.956666666666678,4.155000000000001,6.521666666666675
6.445,54.92666666666668,-17.806666666666672,23.405,0.36166666666665037,33.03333333333333,-26.954999999999984,4.159999999999997,6.5233333333333405
6.455,54.91999999999999,-17.803333333333313,23.405,0.3650000000000091,33.02666666666667,-26.951666666666682,4.155000000000001,6.525000000000006
6.465,54.92666666666668,-17.810000000000002,23.406666666666666,0.3599999999999852,33.035000000000025,-26.94999999999999,4.159999999999997,6.526666666666671
6.475,54.920000000000016,-17.806666666666644,23.405,0.36333333333334394,33.02666666666667,-26.946666666666687,4.155000000000001,6.528333333333336
6.485,54.92500000000001,-17.814999999999998,23.406666666666666,0.35833333333332007,33.03333333333336,-26.94666666666666,4.156666666666666,6.530000000000001
6.495,54.91833333333335,-17.809999999999974,23.406666666666666,0.3616666666666788,33.025000000000006,-26.946666666666687,4.153333333333336,6.530000000000001
6.505,54.92499999999998,-17.816666666666663,23.40833333333333,0.3566666666666549,33.035000000000025,-26.948333333333323,4.158333333333331,6.531666666666666
6.515,54.91833333333335,-17.81166666666664,23.406666666666666,0.36166666666665037,33.02666666666667,-26.950000000000017,4.153333333333336,6.533333333333331
6.525,54.92499999999998,-17.818333333333328,23.40833333333333,0.3566666666666549,33.035000000000025,-26.948333333333323,4.158333333333331,6.534999999999997
