time,left_gate,right_gate,delta
9.38,106.36,75.05,31.310000000000002
9.38,106.36,75.04,31.319999999999993
9.38,106.55,75.22,31.33
9.38,106.52,75.18,31.33999999999999
9.38,106.36,75.03,31.33
9.38,106.34,75.02,31.320000000000007
9.39,107.44,76.03,31.409999999999997
9.39,106.49,75.14,31.349999999999994
9.39,106.45,75.11,31.340000000000003
9.39,106.37,75.04,31.33
9.39,106.36,75.04,31.319999999999993
9.39,106.35,75.04,31.309999999999988
9.39,106.35,75.04,31.309999999999988
9.39,106.46,75.15,31.309999999999988
9.39,106.53,75.21,31.320000000000007
9.39,106.45,75.14,31.310000000000002
9.39,106.35,75.05,31.299999999999997
9.4,107.44,76.05,31.39
9.4,106.49,75.16,31.33
9.4,106.45,75.14,31.310000000000002
9.4,106.38,75.08,31.299999999999997
9.4,106.37,75.07,31.30000000000001
9.4,106.37,75.06,31.310000000000002
9.4,106.37,75.06,31.310000000000002
9.4,106.55,75.25,31.299999999999997
9.4,106.52,75.22,31.299999999999997
9.4,106.37,75.07,31.30000000000001
9.4,106.36,75.07,31.290000000000006
9.41,107.45,76.07,31.38000000000001
9.41,106.49,75.18,31.309999999999988
9.41,106.44,75.16,31.28
9.41,106.37,75.1,31.27000000000001
9.41,106.37,75.1,31.27000000000001
9.41,106.37,75.1,31.27000000000001
9.41,106.37,75.1,31.27000000000001
9.41,106.55,75.28,31.269999999999996
9.41,106.53,75.25,31.28
9.41,106.38,75.11,31.269999999999996
9.41,106.38,75.11,31.269999999999996
9.42,107.48,76.12,31.36
9.42,106.52,75.22,31.299999999999997
9.42,106.47,75.2,31.269999999999996
9.42,106.4,75.14,31.260000000000005
9.42,106.38,75.12,31.25999999999999
9.42,106.38,75.12,31.25999999999999
9.42,106.38,75.12,31.25999999999999
9.42,106.5,75.23,31.269999999999996
9.42,106.57,75.29,31.279999999999987
9.42,106.5,75.21,31.290000000000006
9.42,106.39,75.11,31.28
9.43,107.48,76.11,31.370000000000005
9.43,106.51,75.22,31.290000000000006
9.43,106.47,75.19,31.28
9.43,106.4,75.12,31.28
9.43,106.38,75.1,31.28
9.43,106.37,75.09,31.28
9.43,106.37,75.09,31.28
9.43,106.55,75.27,31.28
9.43,106.53,75.24,31.290000000000006
9.43,106.38,75.09,31.289999999999992
9.43,106.37,75.09,31.28
9.44,107.48,76.1,31.38000000000001
9.44,106.52,75.21,31.310000000000002
9.44,106.48,75.18,31.299999999999997
9.44,106.39,75.1,31.290000000000006
9.44,106.38,75.09,31.289999999999992
9.44,106.36,75.08,31.28
9.44,106.36,75.09,31.269999999999996
9.44,106.55,75.27,31.28
9.44,106.51,75.23,31.28
9.44,106.36,75.09,31.269999999999996
9.44,106.34,75.08,31.260000000000005
9.45,107.43,76.08,31.35000000000001
9.45,106.47,75.19,31.28
9.45,106.44,75.18,31.25999999999999
9.45,106.37,75.12,31.25
9.45,106.35,75.1,31.25
9.45,106.34,75.09,31.25
9.45,106.34,75.09,31.25
9.45,106.45,75.19,31.260000000000005
9.45,106.52,75.25,31.269999999999996
9.45,106.46,75.18,31.279999999999987
9.45,106.35,75.08,31.269999999999996
9.46,107.44,76.08,31.36
9.46,106.49,75.19,31.299999999999997
9.46,106.45,75.17,31.28
9.46,106.38,75.1,31.28
9.46,106.36,75.08,31.28
9.46,106.37,75.08,31.290000000000006
9.46,106.37,75.08,31.290000000000006
9.46,106.55,75.26,31.289999999999992
9.46,106.53,75.22,31.310000000000002
9.46,106.36,75.06,31.299999999999997
9.46,106.36,75.06,31.299999999999997
9.47,107.45,76.06,31.39
9.47,106.49,75.17,31.319999999999993
9.47,106.45,75.15,31.299999999999997
9.47,106.37,75.08,31.290000000000006
9.47,106.37,75.08,31.290000000000006
9.47,106.37,75.08,31.290000000000006
9.47,106.36,75.07,31.290000000000006
9.47,106.54,75.25,31.290000000000006
9.47,106.51,75.22,31.290000000000006
9.47,106.36,75.08,31.28
9.47,106.36,75.08,31.28
9.48,107.46,76.09,31.36999999999999
9.48,106.5,75.19,31.310000000000002
9.48,106.46,75.17,31.289999999999992
9.48,106.38,75.1,31.28
9.48,106.37,75.09,31.28
9.48,106.37,75.08,31.290000000000006
9.48,106.37,75.07,31.30000000000001
9.48,106.48,75.17,31.310000000000002
9.48,106.56,75.24,31.320000000000007
9.48,106.49,75.18,31.309999999999988
9.48,106.38,75.07,31.310000000000002
9.49,107.47,76.07,31.400000000000006
9.49,106.51,75.18,31.33
9.49,106.46,75.16,31.299999999999997
9.49,106.39,75.1,31.290000000000006
9.49,106.37,75.09,31.28
9.49,106.36,75.08,31.28
9.49,106.36,75.08,31.28
9.49,106.54,75.26,31.28
9.49,106.51,75.21,31.30000000000001
9.49,106.36,75.06,31.299999999999997
9.49,106.35,75.06,31.289999999999992
9.5,107.45,76.06,31.39
9.5,106.5,75.17,31.33
9.5,106.46,75.14,31.319999999999993
9.5,106.38,75.06,31.319999999999993
9.5,106.36,75.04,31.319999999999993
9.5,106.35,75.03,31.319999999999993
9.5,106.35,75.03,31.319999999999993
9.5,106.35,75.03,31.319999999999993
9.5,106.35,75.02,31.33
9.5,106.34,75.01,31.33
9.5,106.35,75.01,31.33999999999999
9.51,107.44,76.01,31.429999999999993
9.51,106.49,75.12,31.36999999999999
9.51,106.45,75.1,31.35000000000001
9.51,106.38,75.03,31.349999999999994
9.51,106.36,75.01,31.349999999999994
9.51,106.36,75.01,31.349999999999994
9.51,106.36,75.01,31.349999999999994
9.51,106.46,75.1,31.36
9.51,106.52,75.17,31.349999999999994
9.51,106.46,75.11,31.349999999999994
9.51,106.34,75.01,31.33
9.52,107.43,76.01,31.42
9.52,106.48,75.12,31.36
9.52,106.44,75.09,31.349999999999994
9.52,106.37,75.03,31.340000000000003
9.52,106.35,75.02,31.33
9.52,106.36,75.03,31.33
9.52,106.36,75.03,31.33
9.52,106.55,75.21,31.340000000000003
9.52,106.52,75.16,31.36
9.52,106.36,75.01,31.349999999999994
9.52,106.35,75.02,31.33
9.53,107.44,76.02,31.42
9.53,106.48,75.13,31.35000000000001
9.53,106.44,75.1,31.340000000000003
9.53,106.37,75.04,31.33
9.53,106.36,75.03,31.33
9.53,106.36,75.04,31.319999999999993
9.53,106.36,75.04,31.319999999999993
9.53,106.54,75.22,31.320000000000007
9.53,106.51,75.19,31.320000000000007
9.53,106.36,75.05,31.310000000000002
9.53,106.36,75.05,31.310000000000002
9.54,107.46,76.06,31.39999999999999
9.54,106.5,75.16,31.340000000000003
9.54,106.46,75.14,31.319999999999993
9.54,106.38,75.06,31.319999999999993
9.54,106.36,75.04,31.319999999999993
9.54,106.37,75.04,31.33
9.54,106.37,75.04,31.33
9.54,106.47,75.13,31.340000000000003
9.54,106.55,75.21,31.340000000000003
9.54,106.49,75.16,31.33
9.54,106.38,75.05,31.33
9.55,107.46,76.05,31.409999999999997
9.55,106.5,75.15,31.349999999999994
9.55,106.45,75.12,31.33
9.55,106.38,75.06,31.319999999999993
9.55,106.36,75.06,31.299999999999997
9.55,106.36,75.06,31.299999999999997
9.55,106.35,75.05,31.299999999999997
9.55,106.53,75.23,31.299999999999997
9.55,106.49,75.19,31.299999999999997
9.55,106.34,75.05,31.290000000000006
9.55,106.34,75.05,31.290000000000006
9.56,107.43,76.05,31.38000000000001
9.56,106.47,75.16,31.310000000000002
9.56,106.43,75.13,31.30000000000001
9.56,106.34,75.05,31.290000000000006
9.56,106.33,75.04,31.289999999999992
9.56,106.33,75.03,31.299999999999997
9.56,106.33,75.03,31.299999999999997
9.56,106.51,75.21,31.30000000000001
9.56,106.48,75.17,31.310000000000002
9.56,106.32,75.02,31.299999999999997
9.56,106.31,75.01,31.299999999999997
9.57,107.4,76.01,31.39
9.57,106.45,75.12,31.33
9.57,106.41,75.1,31.310000000000002
9.57,106.33,75.03,31.299999999999997
9.57,106.32,75.02,31.299999999999997
9.57,106.31,75.01,31.299999999999997
9.57,106.31,75.01,31.299999999999997
9.57,106.4,75.1,31.30000000000001
9.57,106.47,75.18,31.289999999999992
9.57,106.42,75.13,31.290000000000006
9.57,106.3,75.01,31.289999999999992
9.58,107.38,76.01,31.36999999999999
9.58,106.43,75.12,31.310000000000002
9.58,106.4,75.09,31.310000000000002
9.58,106.32,75.01,31.309999999999988
9.58,106.31,75.0,31.310000000000002
9.58,106.31,74.99,31.320000000000007
9.58,106.31,74.99,31.320000000000007
9.58,106.5,75.17,31.33
9.58,106.46,75.12,31.33999999999999
9.58,106.31,74.98,31.33
9.58,106.3,74.98,31.319999999999993
9.59,107.39,75.98,31.409999999999997
9.59,106.43,75.09,31.340000000000003
9.59,106.39,75.07,31.320000000000007
9.59,106.31,75.0,31.310000000000002
9.59,106.31,75.0,31.310000000000002
9.59,106.31,75.0,31.310000000000002
9.59,106.31,75.0,31.310000000000002
9.59,106.5,75.18,31.319999999999993
9.59,106.66,75.33,31.33
9.59,106.49,75.16,31.33
9.59,106.33,75.01,31.319999999999993
9.6,107.41,76.01,31.39999999999999
9.6,106.45,75.11,31.340000000000003
9.6,106.41,75.09,31.319999999999993
9.6,106.33,75.02,31.310000000000002
9.6,106.32,75.01,31.309999999999988
9.6,106.32,75.01,31.309999999999988
9.6,106.32,75.01,31.309999999999988
9.6,106.41,75.1,31.310000000000002
9.6,106.5,75.19,31.310000000000002
9.6,106.46,75.14,31.319999999999993
9.6,106.34,75.03,31.310000000000002
9.61,107.43,76.03,31.400000000000006
9.61,106.47,75.13,31.340000000000003
9.61,106.42,75.11,31.310000000000002
9.61,106.35,75.05,31.299999999999997
9.61,106.33,75.04,31.289999999999992
9.61,106.33,75.03,31.299999999999997
9.61,106.32,75.02,31.299999999999997
9.61,106.5,75.2,31.299999999999997
9.61,106.45,75.15,31.299999999999997
9.61,106.3,75.02,31.28
9.61,106.3,75.02,31.28
9.62,107.39,76.0,31.39
9.62,106.44,75.11,31.33
9.62,106.39,75.08,31.310000000000002
9.62,106.31,75.01,31.299999999999997
9.62,106.29,74.99,31.30000000000001
9.62,106.29,75.0,31.290000000000006
9.62,106.29,74.99,31.30000000000001
9.62,106.47,75.17,31.299999999999997
9.62,106.45,75.13,31.320000000000007
9.62,106.29,74.97,31.320000000000007
9.62,106.28,74.96,31.320000000000007
9.63,107.37,75.96,31.41000000000001
9.63,106.41,75.07,31.340000000000003
9.63,106.38,75.06,31.319999999999993
9.63,106.3,74.98,31.319999999999993
9.63,106.29,74.98,31.310000000000002
9.63,106.29,74.99,31.30000000000001
9.63,106.28,74.99,31.290000000000006
9.63,106.36,75.07,31.290000000000006
9.63,106.45,75.16,31.290000000000006
9.63,106.4,75.11,31.290000000000006
9.63,106.27,74.98,31.289999999999992
9.64,107.35,75.97,31.379999999999995
9.64,106.4,75.08,31.320000000000007
9.64,106.36,75.06,31.299999999999997
9.64,106.29,74.99,31.30000000000001
9.64,106.27,74.98,31.289999999999992
9.64,106.27,74.97,31.299999999999997
9.64,106.27,74.97,31.299999999999997
9.64,106.45,75.15,31.299999999999997
9.64,106.41,75.1,31.310000000000002
9.64,106.28,74.96,31.320000000000007
9.64,106.27,74.96,31.310000000000002
9.65,107.36,75.96,31.400000000000006
9.65,106.4,75.06,31.340000000000003
9.65,106.36,75.04,31.319999999999993
9.65,106.29,74.98,31.310000000000002
9.65,106.29,74.98,31.310000000000002
9.65,106.29,74.98,31.310000000000002
9.65,106.28,74.98,31.299999999999997
9.65,106.46,75.16,31.299999999999997
9.65,106.44,75.13,31.310000000000002
9.65,106.29,74.99,31.30000000000001
9.65,106.29,74.99,31.30000000000001
9.66,107.39,76.0,31.39
9.66,106.44,75.11,31.33
9.66,106.39,75.08,31.310000000000002
9.66,106.31,75.01,31.299999999999997
9.66,106.29,74.99,31.30000000000001
9.66,106.29,74.99,31.30000000000001
9.66,106.29,74.99,31.30000000000001
9.66,106.38,75.07,31.310000000000002
9.66,106.47,75.16,31.310000000000002
9.66,106.43,75.11,31.320000000000007
9.66,106.29,74.98,31.310000000000002
9.67,107.38,75.98,31.39999999999999
9.67,106.42,75.09,31.33
9.67,106.37,75.06,31.310000000000002
9.67,106.28,74.99,31.290000000000006
9.67,106.27,74.98,31.289999999999992
9.67,106.26,74.98,31.28
9.67,106.26,74.98,31.28
9.67,106.26,74.98,31.28
9.67,106.26,74.97,31.290000000000006
9.67,106.25,74.96,31.290000000000006
9.67,106.25,74.96,31.290000000000006
9.68,107.34,75.96,31.38000000000001
9.68,106.39,75.07,31.320000000000007
9.68,106.35,75.04,31.309999999999988
9.68,106.27,74.97,31.299999999999997
9.68,106.26,74.96,31.30000000000001
9.68,106.25,74.96,31.290000000000006
9.68,106.25,74.96,31.290000000000006
9.68,106.44,75.14,31.299999999999997
9.68,106.4,75.1,31.30000000000001
9.68,106.25,74.95,31.299999999999997
9.68,106.24,74.94,31.299999999999997
9.69,107.34,75.95,31.39
9.69,106.38,75.06,31.319999999999993
9.69,106.35,75.05,31.299999999999997
9.69,106.26,74.97,31.290000000000006
9.69,106.26,74.97,31.290000000000006
9.69,106.25,74.96,31.290000000000006
9.69,106.25,74.96,31.290000000000006
9.69,106.33,75.04,31.289999999999992
9.69,106.42,75.13,31.290000000000006
9.69,106.38,75.09,31.289999999999992
9.69,106.25,74.96,31.290000000000006
9.7,107.33,75.95,31.379999999999995
9.7,106.37,75.05,31.320000000000007
9.7,106.34,75.04,31.299999999999997
9.7,106.26,74.96,31.30000000000001
9.7,106.25,74.95,31.299999999999997
9.7,106.25,74.94,31.310000000000002
9.7,106.25,74.94,31.310000000000002
9.7,106.25,74.94,31.310000000000002
9.7,106.26,74.94,31.320000000000007
9.7,106.24,74.92,31.319999999999993
9.7,106.24,74.92,31.319999999999993
9.71,107.33,75.92,31.409999999999997
9.71,106.37,75.04,31.33
