time,left_gate,right_gate,delta
65.07,115.11,82.47,32.64
65.07,115.18,82.54,32.64
65.07,115.19,82.54,32.64999999999999
65.08,115.19,82.55,32.64
65.08,115.19,82.55,32.64
65.08,115.19,82.55,32.64
65.08,115.19,82.55,32.64
65.08,115.19,82.56,32.629999999999995
65.08,115.2,82.57,32.63000000000001
65.08,115.18,82.54,32.64
65.08,115.18,82.54,32.64
65.08,115.13,82.5,32.629999999999995
65.08,115.12,82.49,32.63000000000001
65.09,115.12,82.49,32.63000000000001
65.09,115.12,82.49,32.63000000000001
65.09,115.12,82.49,32.63000000000001
65.09,115.12,82.5,32.620000000000005
65.09,115.12,82.51,32.61
65.09,115.12,82.51,32.61
65.09,115.12,82.52,32.60000000000001
65.09,115.12,82.51,32.61
65.09,115.12,82.5,32.620000000000005
65.09,115.11,82.5,32.61
65.1,115.11,82.5,32.61
65.1,115.1,82.5,32.599999999999994
65.1,115.09,82.5,32.59
65.1,115.14,82.54,32.599999999999994
65.1,115.15,82.55,32.60000000000001
65.1,115.13,82.53,32.599999999999994
65.1,115.13,82.53,32.599999999999994
65.1,115.13,82.53,32.599999999999994
65.1,115.14,82.53,32.61
65.1,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.56,32.599999999999994
65.11,115.16,82.55,32.61
65.11,115.16,82.55,32.61
65.11,115.17,82.56,32.61
65.12,115.17,82.56,32.61
65.12,115.17,82.57,32.60000000000001
65.12,115.17,82.57,32.60000000000001
65.12,115.18,82.57,32.610000000000014
65.12,115.18,82.57,32.610000000000014
65.12,115.18,82.57,32.610000000000014
65.12,115.17,82.57,32.60000000000001
65.12,115.18,82.57,32.610000000000014
65.12,115.18,82.56,32.620000000000005
65.12,115.18,82.55,32.63000000000001
65.13,115.18,82.56,32.620000000000005
65.13,115.18,82.56,32.620000000000005
65.13,115.19,82.56,32.629999999999995
65.13,115.18,82.56,32.620000000000005
65.13,115.18,82.56,32.620000000000005
65.13,115.18,82.56,32.620000000000005
65.13,115.19,82.56,32.629999999999995
65.13,115.26,82.62,32.64
65.13,115.18,82.54,32.64
65.13,115.17,82.54,32.629999999999995
65.14,115.17,82.54,32.629999999999995
65.14,115.16,82.54,32.61999999999999
65.14,115.15,82.54,32.61
65.14,115.16,82.54,32.61999999999999
65.14,115.16,82.54,32.61999999999999
65.14,115.16,82.54,32.61999999999999
65.14,115.17,82.53,32.64
65.14,115.16,82.53,32.629999999999995
65.14,115.17,82.54,32.629999999999995
65.14,115.19,82.57,32.620000000000005
65.15,115.19,82.57,32.620000000000005
65.15,115.19,82.57,32.620000000000005
65.15,115.19,82.57,32.620000000000005
65.15,115.2,82.57,32.63000000000001
65.15,115.24,82.61,32.629999999999995
65.15,115.25,82.63,32.620000000000005
65.15,115.27,82.64,32.629999999999995
65.15,115.35,82.71,32.64
65.15,115.31,82.66,32.650000000000006
65.15,115.3,82.66,32.64
65.16,115.3,82.66,32.64
65.16,115.29,82.66,32.63000000000001
65.16,115.28,82.66,32.620000000000005
65.16,115.29,82.66,32.63000000000001
65.16,115.28,82.66,32.620000000000005
65.16,115.28,82.66,32.620000000000005
65.16,115.28,82.65,32.629999999999995
65.16,115.29,82.65,32.64
65.16,115.29,82.65,32.64
65.16,115.25,82.61,32.64
65.17,115.25,82.61,32.64
65.17,115.25,82.61,32.64
65.17,115.25,82.61,32.64
65.17,115.23,82.6,32.63000000000001
65.17,115.21,82.57,32.64
65.17,115.2,82.56,32.64
65.17,115.19,82.57,32.620000000000005
65.17,115.19,82.57,32.620000000000005
65.17,115.17,82.55,32.620000000000005
65.17,115.15,82.55,32.60000000000001
65.18,115.15,82.55,32.60000000000001
65.18,115.15,82.55,32.60000000000001
65.18,115.15,82.55,32.60000000000001
65.18,115.14,82.55,32.59
65.18,115.14,82.55,32.59
65.18,115.14,82.55,32.59
65.18,115.14,82.56,32.58
65.18,115.13,82.56,32.56999999999999
65.18,115.19,82.61,32.58
65.18,115.16,82.59,32.56999999999999
65.19,115.16,82.59,32.56999999999999
