time,left_gate_raw,right_gate_raw
70884,458,348
70894,467,347
70904,458,348
70914,466,347
70924,459,347
70934,465,347
70944,456,347
70954,466,347
70964,457,347
70974,465,347
70984,457,348
70994,463,347
71004,457,347
71014,464,347
71024,458,348
71034,464,347
71044,459,347
71054,464,348
71064,459,348
71074,466,347
71084,459,347
71094,466,347
71104,460,347
71114,466,347
71124,459,347
71134,466,347
71144,458,347
71154,466,347
71164,459,347
71174,466,347
71184,456,347
71194,463,347
71204,459,348
71214,464,347
71224,456,348
71234,464,347
71244,458,348
71254,465,347
71264,456,348
71274,463,347
71284,457,348
71294,463,347
71304,459,348
71314,465,347
71324,459,348
71334,465,347
71344,459,348
71354,465,347
71364,458,348
71374,465,346
71384,459,348
71394,465,347
71404,458,348
71414,464,347
71424,458,348
71434,464,347
71444,458,348
71454,464,347
71464,457,348
71474,464,346
71484,456,348
71494,463,347
71504,455,348
71514,464,347
71524,454,348
71534,462,347
71544,455,348
71554,464,347
71564,456,348
71574,461,347
71584,454,348
71594,462,347
71604,456,348
71614,463,346
71624,460,348
71634,467,346
71644,462,347
71654,468,346
71664,465,347
71674,472,345
71684,468,346
71694,477,345
71704,473,345
71714,478,344
71724,474,346
71734,478,344
71744,475,346
71754,482,344
71764,475,346
71774,483,345
71784,475,347
71794,483,345
71804,476,346
71814,482,345
71824,475,347
71834,482,345
71844,475,347
71854,482,345
71864,472,347
71874,480,345
71884,475,347
71894,481,345
71904,472,348
71914,478,346
71924,474,348
71934,478,346
71944,471,348
71954,478,347
71964,473,349
71974,477,348
71984,473,350
71994,476,349
72004,472,352
72014,475,351
72024,471,355
72034,476,355
72044,469,358
72054,474,357
72064,467,361
72074,473,359
72084,466,362
72094,472,361
72104,466,363
72114,471,361
72124,465,364
72134,471,361
72144,462,364
72154,470,362
72164,464,364
72174,468,363
72184,463,365
72194,469,363
72204,462,365
72214,470,363
72224,461,365
72234,468,363
72244,461,365
72254,467,362
72264,462,365
72274,469,362
72284,462,364
72294,469,362
72304,462,364
72314,468,361
72324,463,363
72334,469,360
72344,463,362
72354,469,360
72369,467,363
72374,464,360
72384,463,361
72394,469,358
72404,463,361
72414,469,358
72424,461,360
72434,469,357
72444,462,359
72454,467,357
72464,463,358
72474,468,357
72484,462,359
72494,469,356
72504,461,358
72514,467,356
72524,460,357
72534,467,355
72544,463,357
72554,470,355
72564,463,356
72574,468,354
72584,463,356
72594,470,354
72604,463,357
72614,470,354
72624,463,355
72634,470,354
72644,463,355
72654,469,354
72664,463,355
72674,470,352
72684,462,354
72694,469,352
72704,462,354
72714,468,352
72724,460,353
72734,468,351
72744,461,353
72754,467,351
72764,461,353
72774,464,351
72784,459,353
72794,468,351
72804,458,353
72814,465,350
72824,458,351
72834,465,349
72844,460,351
72854,467,349
72864,461,351
72874,467,349
72884,461,351
72894,467,349
72904,460,350
72914,467,349
72924,460,350
72934,467,349
72944,460,351
72954,466,349
72964,460,350
72974,466,348
72984,459,350
72994,466,348
73004,460,350
73014,466,348
73024,459,350
73034,462,348
73044,458,351
73054,463,349
73064,456,351
73074,465,349
73084,458,350
73094,461,348
73104,456,350
73114,463,349
73124,454,351
73134,461,349
73144,456,351
73154,463,348
73164,458,350
73174,462,348
73184,457,351
73194,461,348
73204,457,350
73214,463,348
73224,457,350
73234,463,347
73244,457,351
73254,463,347
73264,457,349
73274,463,347
73284,458,350
73294,463,347
73304,457,350
73314,463,348
73324,455,350
73334,463,348
73344,456,350
73354,463,348
73364,455,350
73374,460,348
73384,455,350
73394,460,348
73404,456,350
73414,460,348
73424,454,351
73434,461,348
73444,454,351
73454,461,348
73464,454,350
73474,460,348
73484,456,350
73494,461,349
73504,457,350
73514,462,347
73524,456,350
73534,462,347
73544,457,350
73554,464,349
73564,459,351
73574,463,348
73584,456,351
73594,463,348
73604,456,351
73614,463,348
73624,458,351
73634,462,349
73644,458,351
73654,463,348
73664,455,351
73674,463,348
73684,457,351
73694,459,348
73704,455,351
73714,458,348
73724,450,351
73734,456,348
73744,450,351
73754,457,348
73764,452,351
73774,456,348
73784,451,350
73794,456,346
73804,451,349
73814,457,346
73824,448,349
73834,456,346
73844,451,349
73854,456,345
73864,451,348
73874,456,345
73884,451,348
73894,456,345
73904,448,348
73914,456,345
73924,451,349
73934,454,345
73944,448,349
73954,453,345
73964,449,349
73974,455,345
73984,450,349
73994,452,345
74004,450,349
74014,452,345
74024,447,349
74034,454,346
74044,450,348
74054,453,345
74064,450,348
74074,455,345
74084,450,348
74094,455,345
74104,451,349
74114,455,346
74124,451,348
74134,455,346
74144,448,349
74154,455,346
74164,450,349
74174,455,346
74184,450,349
74194,452,346
74204,448,350
74214,456,347
74224,450,350
74234,455,347
74244,449,350
74254,452,347
74264,449,350
74274,452,347
74284,447,350
74294,453,347
74304,447,350
74314,451,347
74324,447,350
74334,451,345
74344,449,349
74354,450,345
74364,449,347
74379,448,344
74384,444,346
74394,452,343
74404,449,346
74414,453,344
74424,449,347
74434,452,343
74444,449,346
74454,452,343
74464,449,346
74474,452,342
74484,449,346
74494,452,343
74504,449,346
74514,451,343
74524,449,346
74534,452,342
74544,445,345
74554,449,342
74564,446,345
74574,451,342
74584,447,345
74594,448,342
74604,446,345
74614,450,342
74624,448,345
74634,452,342
74644,446,345
74654,449,342
74664,449,345
74674,449,342
74684,450,345
74694,451,343
74704,449,344
74714,452,341
74724,450,345
74734,451,341
74744,449,344
74754,451,341
74764,447,344
74774,448,341
74784,449,344
74794,451,341
74804,450,344
74814,451,341
74824,447,344
74834,448,342
74844,448,345
74854,449,342
74864,449,344
74874,449,342
74884,448,344
74894,449,342
74904,450,345
74914,450,342
74924,448,345
74934,451,342
74944,447,345
74954,449,342
74964,448,345
