time,ch0_delta,ch1_delta,ch2_delta,ch3_delta,ch4_delta,ch5_delta,ch6_delta,ch7_delta
86.659,55.31000000000003,-18.821666666666687,23.11500000000001,-9.319999999999993,43.511666666666656,-36.37166666666667,37.95333333333332,6.536666666666633
86.669,55.311666666666696,-18.82833333333332,23.13833333333332,-9.319999999999993,43.50999999999999,-36.373333333333335,37.954999999999984,6.5400000000000205
86.679,55.311666666666696,-18.823333333333323,23.15833333333333,-9.335000000000036,43.51333333333332,-36.37166666666667,37.95333333333332,6.536666666666633
86.689,55.31166666666664,-18.843333333333334,23.180000000000007,-9.333333333333371,43.50999999999999,-36.37166666666667,37.95666666666665,6.5400000000000205
86.699,55.31166666666664,-18.840000000000032,23.200000000000017,-9.349999999999966,43.51333333333332,-36.366666666666674,37.951666666666654,6.534999999999968
86.709,55.313333333333304,-18.860000000000014,23.22333333333333,-9.3483333333333,43.50999999999999,-36.36833333333334,37.95333333333332,6.538333333333355
86.719,55.31499999999997,-18.826666666666682,23.19666666666666,-9.355000000000018,43.51333333333332,-36.363333333333344,37.95333333333332,6.536666666666633
86.729,55.315,-18.826666666666654,23.22,-9.353333333333353,43.511666666666656,-36.36500000000001,37.95666666666665,6.5400000000000205
86.739,55.315,-18.823333333333323,23.241666666666646,-9.370000000000005,43.51333333333332,-36.363333333333344,37.95333333333332,6.536666666666633
86.749,55.31333333333333,-18.843333333333334,23.265000000000015,-9.36833333333334,43.50666666666666,-36.363333333333344,37.95999999999998,6.5400000000000205
86.759,55.31333333333333,-18.841666666666697,23.288333333333327,-9.38166666666666,43.508333333333326,-36.35833333333335,37.95999999999998,6.534999999999968
86.769,55.31166666666667,-18.84166666666664,23.310000000000002,-9.383333333333383,43.50666666666666,-36.35833333333335,37.96333333333331,6.538333333333355
86.779,55.31166666666667,-18.83833333333334,23.335000000000008,-9.396666666666647,43.508333333333326,-36.35500000000002,37.95999999999998,6.533333333333303
86.789,55.31,-18.838333333333367,23.35833333333335,-9.398333333333312,43.504999999999995,-36.35333333333335,37.96666666666664,6.535000000000025
86.799,55.31,-18.836666666666645,23.38166666666666,-9.413333333333298,43.50666666666666,-36.35000000000002,37.964999999999975,6.531666666666638
86.809,55.3066666666667,-18.859999999999985,23.404999999999973,-9.413333333333298,43.501666666666665,-36.35000000000002,37.96999999999997,6.535000000000025
86.819,55.30666666666667,-18.860000000000014,23.42833333333334,-9.426666666666677,43.50333333333333,-36.34666666666669,37.968333333333305,6.533333333333303
86.829,55.305000000000035,-18.87833333333336,23.45333333333332,-9.428333333333342,43.501666666666665,-36.35000000000002,37.971666666666636,6.53666666666669
86.839,55.305000000000035,-18.876666666666637,23.47666666666666,-9.443333333333328,43.504999999999995,-36.34666666666669,37.96999999999997,6.536666666666633
86.849,55.30166666666665,-18.876666666666665,23.5,-9.44500000000005,43.501666666666665,-36.34833333333336,37.9733333333333,6.5400000000000205
86.859,55.30166666666665,-18.876666666666694,23.525000000000006,-9.458333333333314,43.5033333333333,-36.34500000000003,37.974999999999994,6.536666666666633
86.869,55.29833333333332,-18.900000000000034,23.561666666666667,-9.454999999999984,43.5,-36.34666666666669,37.978333333333325,6.5400000000000205
86.879,55.29833333333332,-18.903333333333308,23.58833333333334,-9.46666666666664,43.50499999999997,-36.3416666666667,37.978333333333325,6.534999999999968
86.889,55.29166666666666,-18.903333333333336,23.61166666666665,-9.46999999999997,43.501666666666665,-36.34666666666669,37.978333333333325,6.538333333333355
86.899,55.29166666666666,-18.906666666666695,23.63833333333332,-9.481666666666683,43.50666666666663,-36.3416666666667,37.978333333333325,6.536666666666633
86.909,55.28333333333333,-18.90833333333333,23.66166666666666,-9.481666666666683,43.501666666666665,-36.34500000000003,37.978333333333325,6.5400000000000205
86.919,55.281666666666666,-18.931666666666644,23.69999999999999,-9.476666666666631,43.5033333333333,-36.3366666666667,37.97999999999999,6.5383333333332985
86.929,55.275000000000006,-18.951666666666654,23.72333333333333,-9.478333333333296,43.5,-36.33500000000001,37.984999999999985,6.541666666666686
86.939,55.27000000000001,-18.971666666666664,23.761666666666684,-9.476666666666688,43.49999999999997,-36.33333333333337,37.98333333333332,6.5383333333332985
86.949,55.261666666666684,-18.97333333333333,23.784999999999997,-9.481666666666683,43.498333333333306,-36.33333333333334,37.98666666666665,6.541666666666686
86.959,55.25666666666669,-18.975000000000023,23.811666666666667,-9.491666666666674,43.498333333333306,-36.32833333333335,37.988333333333316,6.536666666666633
86.969,55.25166666666664,-18.97666666666666,23.835000000000008,-9.493333333333283,43.49666666666664,-36.33166666666668,37.99333333333331,6.5400000000000205
86.979,55.244999999999976,-19.001666666666665,23.873333333333335,-9.490000000000009,43.49999999999997,-36.331666666666706,37.98999999999998,6.5383333333332985
86.989,55.231666666666655,-19.023333333333312,23.898333333333312,-9.491666666666674,43.49666666666664,-36.33333333333334,37.99333333333331,6.541666666666686
86.999,55.221666666666664,-19.025000000000006,23.923333333333318,-9.50333333333333,43.498333333333306,-36.32833333333335,37.99333333333331,6.539999999999964
87.009,55.20666666666668,-19.02666666666667,23.94666666666666,-9.50666666666666,43.494999999999976,-36.33166666666668,37.99666666666664,6.543333333333351
87.019,55.19500000000002,-19.03,23.975000000000023,-9.514999999999986,43.49666666666664,-36.32833333333332,37.99666666666664,6.5383333333332985
87.029,55.176666666666705,-19.03,23.998333333333335,-9.519999999999982,43.491666666666646,-36.33166666666668,37.99999999999997,6.541666666666686
87.039,55.1633333333333,-19.05333333333334,24.035000000000025,-9.514999999999986,43.49333333333331,-36.32833333333335,37.998333333333306,6.536666666666633
87.049,55.14499999999998,-19.076666666666654,24.07166666666666,-9.521666666666647,43.48999999999998,-36.32833333333335,38.00166666666664,6.5400000000000205
87.059,55.133333333333326,-19.100000000000023,24.110000000000014,-9.516666666666652,43.491666666666646,-36.32500000000002,38.0033333333333,6.5383333333332985
87.069,55.11500000000001,-19.101666666666688,24.133333333333326,-9.523333333333312,43.48666666666665,-36.32500000000002,38.00999999999996,6.545000000000016
87.079,55.10166666666669,-19.10499999999999,24.160000000000025,-9.533333333333303,43.488333333333316,-36.32166666666663,38.00999999999999,6.541666666666629
87.089,55.076666666666654,-19.125,24.181666666666672,-9.54333333333335,43.478333333333325,-36.32333333333335,38.014999999999986,6.545000000000016
87.099,55.06499999999997,-19.14833333333334,24.221666666666664,-9.538333333333355,43.47999999999999,-36.319999999999965,38.011666666666656,6.541666666666629
