time, ch0_left_gate_raw, ch0_right_gate_raw, ch1_left_gate_raw, ch1_right_gate_raw, ch2_left_gate_raw, ch2_right_gate_raw, ch3_left_gate_raw, ch3_right_gate_raw
17220,299,261,1160,1004,269,222,264,247
17221,312,272,790,653,262,220,267,247
17230,301,262,1154,1018,270,222,265,248
17231,312,272,785,650,262,220,267,248
17240,299,261,1156,1004,269,222,264,247
17241,313,272,792,654,263,221,267,247
17250,301,262,1155,1016,270,222,266,248
17251,313,272,791,655,263,221,268,248
17260,300,261,1161,1005,269,222,264,247
17261,313,272,792,657,263,221,267,247
17270,302,262,1157,1017,270,222,265,248
17271,312,272,789,653,262,221,268,248
17280,299,261,1154,1002,269,222,264,247
17281,313,272,789,654,262,220,267,247
17290,301,262,1159,1018,270,222,265,248
17291,313,272,784,652,262,220,267,248
17300,300,261,1159,1003,269,222,264,247
17301,313,272,794,656,263,221,267,247
17310,300,262,1158,1017,270,222,265,248
17311,313,272,786,653,262,220,268,248
17320,300,261,1160,1004,269,221,264,247
17321,312,272,791,653,262,220,267,247
17330,301,262,1158,1018,270,222,265,248
17331,313,272,789,652,262,220,268,248
17340,299,261,1159,1002,269,222,264,247
17341,312,272,789,653,262,220,267,247
17350,301,262,1156,1017,270,222,265,248
17351,312,273,787,652,262,220,267,248
17360,300,261,1159,1005,269,222,264,247
17361,313,272,791,656,262,220,267,247
17370,301,262,1155,1016,270,223,265,248
17371,313,272,786,651,262,220,267,248
17380,300,260,1158,1000,269,222,264,247
17381,313,272,803,662,263,221,268,248
17390,301,262,1159,1019,270,222,265,248
17391,312,272,785,649,262,220,267,248
17400,299,260,1161,1002,269,222,264,247
17401,313,272,792,655,263,220,267,247
17410,302,262,1155,1019,270,222,265,248
17411,312,272,788,653,262,220,267,248
17420,300,261,1160,1003,269,222,264,247
17421,312,272,791,656,262,221,267,247
17430,302,262,1160,1029,270,222,265,248
17431,313,272,788,661,262,220,268,248
17440,299,261,1163,1003,269,222,264,247
17441,312,272,791,653,262,221,267,247
17450,301,262,1157,1016,270,222,266,248
17451,313,273,789,652,262,220,268,248
17460,299,261,1160,1002,269,222,264,247
17461,313,272,792,652,263,221,267,247
17470,301,262,1157,1016,270,222,265,248
17471,313,272,788,652,262,220,267,248
17480,300,261,1162,1006,269,222,264,247
17481,313,272,793,658,263,221,267,248
17490,301,262,1162,1018,270,222,265,248
17491,313,273,787,655,262,221,268,248
17500,300,261,1162,1003,269,222,264,247
17501,312,272,791,655,262,220,267,247
17510,302,262,1161,1018,270,222,265,248
17511,312,273,785,652,262,220,267,248
17520,300,261,1158,1004,269,222,264,247
17521,313,272,792,654,262,220,267,247
17530,301,262,1159,1016,270,222,265,248
17531,313,272,789,654,262,220,268,248
17540,299,261,1161,1005,269,222,264,247
17541,312,272,789,651,262,220,267,247
17550,301,262,1162,1018,269,222,265,248
17551,313,272,788,652,262,220,268,248
17560,299,261,1162,1003,269,222,264,247
17561,313,272,792,657,263,220,268,247
17570,301,262,1158,1018,270,222,265,248
17571,312,272,795,656,263,221,268,248
17580,299,260,1162,999,269,221,264,247
17581,312,272,794,655,263,221,267,248
17590,301,262,1161,1017,270,222,265,248
17591,313,273,783,647,262,220,267,248
17600,299,261,1161,1003,269,222,264,247
17601,312,272,783,652,262,220,267,247
17610,301,262,1159,1020,270,222,265,248
17611,312,272,779,648,262,220,267,248
17620,299,261,1167,1004,269,222,264,247
17621,313,272,790,654,262,220,267,247
17630,301,262,1163,1016,270,222,265,248
17631,312,273,784,650,262,220,267,248
17640,300,261,1164,1006,269,222,264,247
17641,312,272,787,650,262,220,267,247
17650,301,262,1163,1019,270,222,265,248
17651,312,273,781,649,262,220,267,248
17660,299,261,1166,1005,269,222,264,247
17661,313,272,789,655,262,220,267,247
17670,301,262,1160,1020,270,222,265,248
17671,312,273,780,648,262,220,267,248
17680,300,261,1164,1007,269,222,264,247
