time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
16681,11,-5,31,-37,63,-26,45,-21
16691,13,-10,30,-38,65,-25,42,-19
16701,11,-5,31,-37,64,-25,42,-21
16711,13,-8,31,-36,62,-25,40,-19
16721,11,-5,31,-37,66,-26,43,-21
16731,13,-10,30,-38,63,-26,42,-19
16741,11,-5,31,-37,64,-26,45,-21
16751,13,-10,30,-39,62,-24,42,-19
16761,11,-5,31,-37,63,-25,45,-21
16771,13,-10,30,-39,63,-25,41,-19
16781,11,-5,31,-38,64,-25,44,-20
16791,13,-10,29,-39,62,-25,41,-19
16801,11,-5,31,-38,63,-26,43,-20
16811,13,-10,30,-39,62,-25,40,-19
16821,11,-5,30,-38,64,-25,44,-21
16831,13,-10,30,-38,62,-25,42,-19
16841,11,-4,30,-37,63,-26,44,-21
16851,13,-11,31,-38,62,-25,40,-19
16861,11,-2,28,-38,64,-26,42,-22
16871,13,-10,30,-38,64,-25,40,-18
16881,11,-5,31,-37,63,-26,43,-21
16891,13,-10,30,-38,61,-25,42,-19
16901,11,-5,31,-37,64,-25,43,-21
16911,13,-10,30,-38,62,-25,43,-19
16921,11,-5,31,-37,64,-26,45,-21
16931,13,-10,30,-38,62,-24,41,-19
16941,11,-4,30,-37,63,-25,43,-21
16951,13,-10,30,-39,62,-24,43,-19
16961,10,-5,31,-36,63,-26,44,-21
16971,13,-10,30,-38,62,-25,43,-19
16981,11,-5,31,-38,62,-27,44,-21
16991,13,-11,31,-39,63,-25,42,-19
17001,11,-5,31,-37,65,-26,44,-21
17011,13,-10,30,-39,61,-24,42,-19
17021,11,-5,31,-37,65,-26,44,-21
17031,13,-10,30,-38,62,-24,42,-19
17041,11,-5,31,-37,63,-25,44,-21
17051,13,-10,30,-37,62,-24,42,-19
17061,11,-5,31,-37,63,-25,44,-21
17071,13,-3,24,-38,62,-24,43,-19
17081,11,-5,31,-38,65,-27,43,-21
17091,13,-10,30,-37,62,-25,42,-19
17101,11,-6,32,-38,64,-26,43,-22
17111,13,-10,30,-38,62,-25,42,-19
17121,11,-5,31,-37,63,-25,44,-22
17131,13,-11,31,-39,62,-26,42,-20
17141,11,-5,31,-37,63,-26,43,-21
17151,13,-10,30,-38,62,-25,41,-19
17161,11,-5,31,-37,63,-25,44,-21
17171,13,-10,30,-38,62,-25,40,-19
17181,11,-5,30,-38,64,-26,43,-22
17191,13,-10,30,-38,63,-24,43,-19
17201,11,-5,31,-38,63,-26,43,-21
17211,13,-10,30,-38,62,-25,41,-19
17221,11,-6,32,-38,63,-26,44,-21
17231,13,-10,30,-38,62,-26,43,-19
17241,11,-5,31,-37,64,-26,45,-21
17251,13,-10,30,-38,62,-25,42,-19
17261,11,-5,31,-38,63,-26,44,-21
17271,13,-10,30,-38,63,-25,42,-19
17281,11,-5,31,-38,64,-26,45,-21
17291,13,-10,30,-38,62,-26,42,-19
17301,11,-4,29,-38,64,-27,44,-21
17311,13,-10,30,-39,61,-24,42,-19
17321,11,-5,30,-38,63,-27,43,-21
17331,13,-10,30,-37,61,-26,42,-19
17341,11,-5,31,-37,65,-26,43,-21
17351,13,-10,30,-39,61,-24,43,-19
17361,11,-5,31,-37,63,-27,44,-21
17371,13,-10,30,-39,64,-25,42,-19
17381,11,-5,30,-37,63,-26,44,-21
17391,13,-10,30,-39,61,-26,42,-19
17401,11,-5,30,-39,68,-25,44,-20
17411,13,-10,29,-38,62,-26,42,-19
17421,11,-5,30,-38,62,-26,44,-21
17431,13,-10,30,-38,62,-23,42,-19
